N was 6
M was 7
385, arrived 25, Rejected 0, In line 25, at 15:25:0
386, arrived 31, Rejected 0, In line 31, at 15:26:0
387, arrived 19, Rejected 0, In line 19, at 15:27:0
388, arrived 19, Rejected 0, In line 19, at 15:28:0
389, arrived 23, Rejected 0, In line 23, at 15:29:0
390, arrived 22, Rejected 0, In line 22, at 15:30:0
391, arrived 27, Rejected 0, In line 27, at 15:31:0
392, arrived 29, Rejected 0, In line 29, at 15:32:0
393, arrived 19, Rejected 0, In line 19, at 15:33:0
394, arrived 17, Rejected 0, In line 17, at 15:34:0
395, arrived 17, Rejected 0, In line 17, at 15:35:0
396, arrived 24, Rejected 0, In line 24, at 15:36:0
397, arrived 29, Rejected 0, In line 29, at 15:37:0
398, arrived 27, Rejected 0, In line 27, at 15:38:0
399, arrived 24, Rejected 0, In line 24, at 15:39:0
400, arrived 19, Rejected 0, In line 19, at 15:40:0
401, arrived 26, Rejected 0, In line 26, at 15:41:0
402, arrived 26, Rejected 0, In line 26, at 15:42:0
403, arrived 25, Rejected 0, In line 25, at 15:43:0
404, arrived 26, Rejected 0, In line 26, at 15:44:0
405, arrived 23, Rejected 0, In line 23, at 15:45:0
406, arrived 22, Rejected 0, In line 22, at 15:46:0
407, arrived 31, Rejected 0, In line 31, at 15:47:0
408, arrived 25, Rejected 0, In line 25, at 15:48:0
409, arrived 20, Rejected 0, In line 20, at 15:49:0
410, arrived 26, Rejected 0, In line 26, at 15:50:0
411, arrived 25, Rejected 0, In line 25, at 15:51:0
412, arrived 26, Rejected 0, In line 26, at 15:52:0
413, arrived 26, Rejected 0, In line 26, at 15:53:0
414, arrived 21, Rejected 0, In line 21, at 15:54:0
415, arrived 30, Rejected 0, In line 30, at 15:55:0
416, arrived 18, Rejected 0, In line 18, at 15:56:0
417, arrived 19, Rejected 0, In line 19, at 15:57:0
418, arrived 32, Rejected 0, In line 32, at 15:58:0
419, arrived 20, Rejected 0, In line 20, at 15:59:0
420, arrived 25, Rejected 0, In line 25, at 16:0:0
421, arrived 21, Rejected 0, In line 21, at 16:1:0
422, arrived 30, Rejected 0, In line 30, at 16:2:0
423, arrived 22, Rejected 0, In line 22, at 16:3:0
424, arrived 23, Rejected 0, In line 23, at 16:4:0
425, arrived 31, Rejected 0, In line 31, at 16:5:0
426, arrived 23, Rejected 0, In line 23, at 16:6:0
427, arrived 29, Rejected 0, In line 29, at 16:7:0
428, arrived 27, Rejected 0, In line 27, at 16:8:0
429, arrived 16, Rejected 0, In line 16, at 16:9:0
430, arrived 22, Rejected 0, In line 22, at 16:10:0
431, arrived 29, Rejected 0, In line 29, at 16:11:0
432, arrived 26, Rejected 0, In line 26, at 16:12:0
433, arrived 30, Rejected 0, In line 30, at 16:13:0
434, arrived 22, Rejected 0, In line 22, at 16:14:0
435, arrived 21, Rejected 0, In line 21, at 16:15:0
436, arrived 21, Rejected 0, In line 21, at 16:16:0
437, arrived 26, Rejected 0, In line 26, at 16:17:0
438, arrived 19, Rejected 0, In line 19, at 16:18:0
439, arrived 27, Rejected 0, In line 27, at 16:19:0
440, arrived 29, Rejected 0, In line 29, at 16:20:0
441, arrived 28, Rejected 0, In line 28, at 16:21:0
442, arrived 21, Rejected 0, In line 21, at 16:22:0
443, arrived 24, Rejected 0, In line 24, at 16:23:0
444, arrived 22, Rejected 0, In line 22, at 16:24:0
445, arrived 24, Rejected 0, In line 24, at 16:25:0
446, arrived 21, Rejected 0, In line 21, at 16:26:0
447, arrived 23, Rejected 0, In line 23, at 16:27:0
448, arrived 25, Rejected 0, In line 25, at 16:28:0
449, arrived 20, Rejected 0, In line 20, at 16:29:0
450, arrived 26, Rejected 0, In line 26, at 16:30:0
451, arrived 15, Rejected 0, In line 15, at 16:31:0
452, arrived 23, Rejected 0, In line 23, at 16:32:0
453, arrived 23, Rejected 0, In line 23, at 16:33:0
454, arrived 22, Rejected 0, In line 22, at 16:34:0
455, arrived 28, Rejected 0, In line 28, at 16:35:0
456, arrived 22, Rejected 0, In line 22, at 16:36:0
457, arrived 27, Rejected 0, In line 27, at 16:37:0
458, arrived 25, Rejected 0, In line 25, at 16:38:0
459, arrived 32, Rejected 0, In line 32, at 16:39:0
460, arrived 27, Rejected 0, In line 27, at 16:40:0
461, arrived 29, Rejected 0, In line 29, at 16:41:0
462, arrived 27, Rejected 0, In line 27, at 16:42:0
463, arrived 22, Rejected 0, In line 22, at 16:43:0
464, arrived 27, Rejected 0, In line 27, at 16:44:0
465, arrived 13, Rejected 0, In line 13, at 16:45:0
466, arrived 25, Rejected 0, In line 25, at 16:46:0
467, arrived 30, Rejected 0, In line 30, at 16:47:0
468, arrived 26, Rejected 0, In line 26, at 16:48:0
469, arrived 27, Rejected 0, In line 27, at 16:49:0
470, arrived 25, Rejected 0, In line 25, at 16:50:0
471, arrived 24, Rejected 0, In line 24, at 16:51:0
472, arrived 23, Rejected 0, In line 23, at 16:52:0
473, arrived 28, Rejected 0, In line 28, at 16:53:0
474, arrived 29, Rejected 0, In line 29, at 16:54:0
475, arrived 27, Rejected 0, In line 27, at 16:55:0
476, arrived 20, Rejected 0, In line 20, at 16:56:0
477, arrived 16, Rejected 0, In line 16, at 16:57:0
478, arrived 18, Rejected 0, In line 18, at 16:58:0
479, arrived 27, Rejected 0, In line 27, at 16:59:0
480, arrived 21, Rejected 0, In line 21, at 17:0:0
481, arrived 26, Rejected 0, In line 26, at 17:1:0
482, arrived 28, Rejected 0, In line 28, at 17:2:0
483, arrived 26, Rejected 0, In line 26, at 17:3:0
484, arrived 11, Rejected 0, In line 11, at 17:4:0
485, arrived 13, Rejected 0, In line 13, at 17:5:0
486, arrived 22, Rejected 0, In line 22, at 17:6:0
487, arrived 22, Rejected 0, In line 22, at 17:7:0
488, arrived 27, Rejected 0, In line 27, at 17:8:0
489, arrived 30, Rejected 0, In line 30, at 17:9:0
490, arrived 20, Rejected 0, In line 20, at 17:10:0
491, arrived 23, Rejected 0, In line 23, at 17:11:0
492, arrived 27, Rejected 0, In line 27, at 17:12:0
493, arrived 31, Rejected 0, In line 31, at 17:13:0
494, arrived 27, Rejected 0, In line 27, at 17:14:0
495, arrived 22, Rejected 0, In line 22, at 17:15:0
496, arrived 31, Rejected 0, In line 31, at 17:16:0
497, arrived 21, Rejected 0, In line 21, at 17:17:0
